Uid,Sentiment
20803,neutral
20187,neutral
20953,neutral
13777,negative
20990,positive
15075,neutral
32292,neutral
4622,positive
22338,negative
23996,positive
10426,positive
3038,negative
37328,negative
11313,neutral
32158,positive
2598,neutral
12837,neutral
26050,negative
30898,positive
22656,positive
2755,negative
16061,negative
3364,neutral
2926,positive
29391,neutral
36692,positive
24682,positive
21692,neutral
16349,negative
22282,neutral
9078,neutral
10672,neutral
44031,negative
36522,positive
16135,negative
18612,negative
5794,positive
17667,negative
16583,negative
25678,neutral
10844,negative
3791,negative
21624,negative
43144,negative
42867,neutral
40769,neutral
17946,positive
843,negative
23329,positive
43516,neutral
13712,neutral
4424,positive
11422,negative
17588,positive
8745,negative
37006,positive
29291,neutral
5905,negative
27921,positive
8762,neutral
42612,negative
34997,negative
10988,negative
14844,negative
3014,negative
20448,neutral
23905,neutral
37296,neutral
42856,neutral
29080,negative
10822,neutral
27237,positive
31449,positive
10734,neutral
5739,negative
41105,negative
13394,positive
30013,positive
11032,positive
19785,positive
21293,neutral
21155,neutral
6056,negative
20984,neutral
25856,positive
8240,negative
21721,positive
27783,neutral
19625,positive
35006,positive
17660,negative
23605,neutral
17224,positive
23874,neutral
11284,neutral
22701,negative
25926,positive
11652,positive
9458,negative
11081,neutral
7285,positive
2764,negative
40419,negative
44227,neutral
21965,neutral
25875,negative
21921,neutral
18535,negative
5278,negative
10444,neutral
43225,positive
28263,negative
37439,positive
1500,positive
27390,negative
5166,positive
17,negative
17475,negative
24131,neutral
14972,neutral
42421,positive
26724,neutral
37891,negative
11377,neutral
20601,neutral
7232,positive
30579,neutral
9185,negative
1918,negative
4134,neutral
15585,positive
30146,neutral
20936,neutral
20757,neutral
4304,neutral
24009,negative
10865,negative
11302,neutral
12308,neutral
13925,positive
21861,positive
23801,neutral
12919,positive
32382,positive
9363,positive
24884,negative
6705,positive
15368,positive
177,positive
14937,negative
21275,neutral
40205,positive
7396,neutral
6822,positive
19943,negative
3266,neutral
10141,negative
31280,positive
44653,neutral
31837,positive
10933,neutral
21589,neutral
13525,negative
31380,negative
11251,neutral
29583,neutral
4047,negative
25420,positive
11401,positive
30288,negative
40377,positive
29413,positive
37821,neutral
268,negative
31644,positive
21066,neutral
10143,positive
18099,neutral
30341,negative
11225,neutral
25572,negative
27920,positive
21268,neutral
39522,positive
7240,negative
9740,negative
10780,negative
12129,positive
33301,neutral
10803,neutral
43892,negative
10852,neutral
22184,neutral
26586,negative
10523,neutral
24651,positive
20454,negative
21647,positive
11068,negative
14117,negative
21540,neutral
31818,neutral
11753,negative
28587,positive
17934,neutral
29398,neutral
6119,positive
6176,positive
32221,negative
8653,positive
3626,positive
10962,neutral
23643,neutral
4888,positive
11484,negative
4564,negative
2076,negative
22672,negative
20835,neutral
8984,positive
27024,neutral
41913,neutral
25782,negative
43583,positive
32309,neutral
25299,negative
8016,negative
9565,positive
10373,neutral
4954,negative
34092,neutral
21165,neutral
23671,positive
13955,negative
34650,negative
11482,neutral
32223,negative
11125,neutral
22549,positive
23052,negative
19459,positive
33453,negative
718,positive
3281,neutral
8053,negative
24419,negative
19151,neutral
27066,negative
10135,negative
23251,positive
13550,neutral
25681,neutral
9580,negative
13916,neutral
29274,positive
35851,positive
21874,neutral
28006,positive
3806,positive
6313,positive
41387,neutral
10686,neutral
9675,negative
13284,neutral
34026,negative
7953,positive
22070,positive
27509,positive
32695,positive
26706,negative
22409,neutral
11815,neutral
10869,positive
30300,negative
14569,neutral
14608,neutral
38358,positive
15330,neutral
4980,neutral
9050,negative
40854,neutral
6417,neutral
25928,negative
11061,negative
8576,neutral
7831,neutral
1958,negative
36228,positive
23221,negative
28453,negative
31816,positive
30867,positive
31454,neutral
42905,neutral
12407,neutral
20583,positive
44407,negative
26019,positive
22441,positive
21966,negative
23714,negative
17136,neutral
4250,negative
40138,neutral
29492,positive
35713,negative
33903,neutral
41432,neutral
41867,neutral
17778,negative
18624,negative
31428,neutral
37432,negative
9767,positive
40069,neutral
6637,positive
30994,negative
41952,positive
20976,neutral
9492,neutral
19383,neutral
40164,negative
3784,positive
658,positive
10623,neutral
10421,neutral
13219,negative
4943,positive
25438,positive
11628,positive
711,negative
15670,neutral
3853,neutral
15060,neutral
14554,neutral
35867,positive
13305,positive
29394,neutral
12557,positive
31960,neutral
21998,positive
19183,negative
14607,neutral
24332,positive
31484,negative
36442,neutral
29370,positive
33705,negative
41402,neutral
22532,negative
11797,neutral
19478,positive
6149,negative
533,positive
29452,positive
17607,negative
29672,positive
10965,negative
41602,positive
28983,neutral
34169,positive
15157,positive
3445,neutral
40194,negative
43158,negative
10855,negative
20931,neutral
28635,neutral
316,neutral
2562,positive
23646,negative
31997,negative
11232,neutral
11696,neutral
4163,negative
12425,neutral
21937,neutral
38446,neutral
3595,negative
43579,neutral
37795,negative
7286,positive
22800,negative
38958,negative
17202,negative
16773,positive
11192,neutral
2952,neutral
34247,negative
19451,neutral
11866,positive
11215,neutral
18015,neutral
38303,neutral
3782,positive
42438,neutral
32427,negative
31370,negative
5356,neutral
43708,positive
44655,negative
43669,positive
41976,neutral
27582,positive
25744,positive
40937,neutral
6917,negative
27060,positive
25623,negative
7896,positive
44997,neutral
17458,negative
41591,neutral
12926,negative
28275,negative
28031,neutral
30935,neutral
6488,negative
42492,neutral
22503,negative
11960,negative
4625,positive
26085,neutral
13336,neutral
215,negative
3338,neutral
20510,negative
24203,negative
31010,negative
26926,negative
19581,positive
21262,negative
38053,positive
20245,neutral
21942,neutral
20973,neutral
24165,neutral
14233,neutral
12005,positive
4387,neutral
7921,negative
11819,neutral
6870,positive
37684,neutral
10484,positive
20392,negative
509,positive
36734,positive
1945,negative
20862,positive
42444,positive
11581,neutral
35773,positive
32834,neutral
37116,neutral
10101,negative
16152,neutral
10433,negative
22966,negative
9336,negative
30317,neutral
25482,negative
2742,negative
4929,negative
27264,neutral
11190,neutral
41792,negative
2784,neutral
15652,negative
18917,positive
41051,negative
3518,positive
2479,positive
14132,negative
26433,positive
24366,positive
18372,positive
35355,positive
21398,neutral
11394,neutral
18798,positive
8566,negative
11165,neutral
14637,positive
16203,positive
18371,positive
4570,positive
17534,positive
7911,negative
38574,positive
10670,negative
20782,neutral
38530,positive
43434,positive
6057,neutral
30207,negative
29900,negative
9133,positive
23577,negative
31254,positive
11209,neutral
34868,negative
5703,neutral
33788,positive
12074,negative
10021,neutral
17050,positive
10974,neutral
26627,positive
4458,neutral
23070,positive
9449,negative
32173,negative
21202,neutral
29118,negative
28446,positive
6181,neutral
29850,negative
32375,neutral
44444,neutral
14977,negative
3947,neutral
11183,neutral
11174,negative
5997,neutral
45120,neutral
43939,positive
12496,positive
8778,neutral
24335,positive
848,positive
14495,neutral
25337,neutral
35492,positive
9155,negative
15554,positive
35856,neutral
31917,positive
31595,neutral
21804,neutral
9702,positive
11181,neutral
20415,negative
11210,positive
31353,negative
25821,neutral
19887,negative
16302,positive
20926,positive
7407,neutral
21361,neutral
15264,positive
27821,negative
10339,neutral
11747,negative
19396,positive
34237,negative
12542,negative
20356,negative
33049,negative
38921,positive
7367,positive
334,positive
25032,negative
22230,negative
10577,neutral
44577,neutral
40006,negative
23662,neutral
16863,positive
40894,negative
488,negative
39787,positive
20723,neutral
9695,positive
22686,negative
39443,negative
25735,negative
13706,neutral
11176,negative
15765,negative
12844,negative
30518,positive
39417,positive
5377,negative
42909,neutral
23414,positive
44213,neutral
39871,negative
21570,neutral
32529,positive
39540,positive
24249,positive
31661,neutral
29941,neutral
5940,negative
3380,positive
34077,negative
11271,neutral
27274,neutral
37260,negative
41325,negative
12524,negative
10856,neutral
9526,neutral
42127,neutral
13997,negative
11114,neutral
34253,positive
9400,positive
32968,positive
25659,negative
26893,positive
13897,neutral
23982,neutral
38235,positive
42820,neutral
20829,neutral
11769,negative
774,negative
42616,positive
23150,negative
10774,neutral
11813,neutral
26156,positive
12626,positive
36752,negative
24753,neutral
10438,neutral
28356,negative
33927,negative
29552,positive
25986,positive
14916,positive
26432,positive
28968,negative
32928,positive
32432,negative
30197,positive
14252,neutral
17749,neutral
34834,neutral
42872,neutral
24392,positive
6413,neutral
9945,neutral
37320,positive
20140,negative
43530,negative
11975,neutral
44346,neutral
14225,negative
32041,positive
26335,positive
31209,positive
15837,positive
10578,neutral
16884,positive
6651,neutral
43553,positive
9001,negative
29635,positive
13048,positive
25259,negative
25552,negative
14009,positive
28534,positive
21078,negative
4900,neutral
21174,neutral
12133,positive
37969,neutral
19514,negative
18336,positive
21373,negative
21306,positive
23125,neutral
31575,negative
2368,positive
32193,neutral
14770,positive
11517,positive
39083,positive
18781,neutral
30879,negative
4161,positive
23207,neutral
11334,neutral
11325,neutral
25263,neutral
17720,positive
21779,positive
28512,neutral
39394,neutral
36646,positive
28354,positive
8150,positive
17706,positive
10713,neutral
25129,neutral
24004,negative
11101,neutral
13125,negative
14261,positive
6153,negative
11150,positive
9051,negative
15956,negative
13802,negative
24081,positive
21884,neutral
25252,neutral
43991,negative
20744,neutral
17688,positive
31076,neutral
13397,positive
7979,neutral
10917,negative
17063,neutral
21498,neutral
11207,neutral
16577,positive
25532,negative
26208,neutral
33855,neutral
8956,negative
8747,neutral
14745,positive
39874,negative
36028,positive
2554,neutral
13168,negative
38128,positive
13785,neutral
40071,positive
5457,negative
17508,negative
10243,neutral
31399,positive
4004,negative
28571,neutral
14430,negative
34847,neutral
34826,positive
10851,negative
11636,neutral
35316,positive
11163,neutral
9761,negative
38228,positive
19078,negative
14464,neutral
40614,neutral
1,negative
31715,positive
38801,negative
26756,negative
5384,positive
31830,negative
35029,neutral
41273,positive
31085,negative
368,positive
29490,positive
43902,negative
17256,positive
26077,positive
23321,positive
11655,positive
8126,neutral
11147,negative
4726,positive
34516,neutral
13617,negative
10562,negative
15355,neutral
29784,positive
36084,negative
19485,negative
15563,negative
11921,neutral
11305,positive
38407,negative
21304,neutral
10882,negative
25634,positive
24274,positive
14344,positive
10947,neutral
493,positive
7369,neutral
24619,negative
35423,negative
36430,neutral
11775,neutral
21453,positive
22711,neutral
43685,positive
23019,positive
31065,negative
8838,positive
9369,neutral
14746,negative
31591,neutral
14478,positive
20945,neutral
19918,negative
12973,neutral
11692,negative
35191,negative
3530,positive
3838,positive
37690,neutral
16165,neutral
34606,positive
2741,positive
3652,negative
19960,positive
26547,negative
8169,positive
31616,negative
40700,positive
12691,negative
21148,positive
11064,neutral
7442,positive
34836,neutral
22116,neutral
12719,neutral
36073,positive
11097,neutral
21380,negative
11721,neutral
